Filmreihe	Reihenfolge	Film	Veröffentlichung	Regisseur	Ära	Geplanter Mehrteiler?	Produktions ID
American Pie	1	American Pie	July 9, 1999	Chris and Paul Weitz	written by Adam Herz	unplanned	60494
American Pie	2	American Pie 2	August 10, 2001	J. B. Rogers	written by Adam Herz	unplanned	325107
American Pie	3	American Wedding	August 1, 2003	Jesse Dylan	written by Adam Herz	unplanned	1042496
American Pie	4	American Reunion	April 6, 2012	Jon Hurwitz and Hayden Schlossberg	written by Jon Hurwitz and Hayden Schlossberg	unplanned	212563
Back to the Future	1	Back to the Future	July 3, 1985	Robert Zemeckis	Back to the Future	not planned	652155
Back to the Future	2	Back to the Future Part II	November 22, 1989	Robert Zemeckis	Back to the Future	not planned	516319
Back to the Future	3	Back to the Future Part III	May 25, 1990	Robert Zemeckis	Back to the Future	not planned	1187727
Batman	1	Batman	June 23, 1989	Tim Burton	Tim Burton/Joel Schumacher	unplanned	527516
Batman	2	Batman Returns	June 19, 1992	Tim Burton	Tim Burton/Joel Schumacher	unplanned	223317
Batman	3	Batman Forever	June 16, 1995	Joel Schumacher	Tim Burton/Joel Schumacher	unplanned	312321
Batman	4	Batman & Robin	June 20, 1997	Joel Schumacher	Tim Burton/Joel Schumacher	unplanned	1367096
Batman	5	Batman Begins	June 15, 2005	Christopher Nolan	Christopher Nolan	unplanned	46732
Batman	6	The Dark Knight	July 18, 2008	Christopher Nolan	Christopher Nolan	unplanned	126005
Batman	7	The Dark Knight Rises	July 20, 2012	Christopher Nolan	Christopher Nolan	unplanned	83198
Batman	8	Batman v Superman: Dawn of Justice	March 25, 2016	Zack Snyder	DC Extended Universe	unplanned	21434
Batman	9	Suicide Squad	August 5, 2016	David Ayer	DC Extended Universe	unplanned	242321
Die Hard	1	Die Hard	July 15, 1988	John McTiernan	directed by John McTiernan	unplanned	309397
Die Hard	2	Die Hard 2	July 4, 1990	Renny Harlin	directed by Renny Harlin	unplanned	480956
Die Hard	3	Die Hard with a Vengeance	May 19, 1995	John McTiernan	directed by John McTiernan	unplanned	204167
Die Hard	4	Live Free or Die Hard	June 27, 2007	Len Wiseman	directed by Len Wiseman	unplanned	982547
Die Hard	5	A Good Day to Die Hard	February 14, 2013	John Moore	directed by John Moore	unplanned	236593
Fast & Furious	1	The Fast and the Furious	June 22, 2001	Rob Cohen	Vin Diesel & Paul Walker	unplanned	274701
Fast & Furious	2	2 Fast 2 Furious	June 6, 2003	John Singleton	Paul Walker	unplanned	74534
Fast & Furious	3	The Fast and the Furious: Tokyo Drift	June 16, 2006	Justin Lin	Vin Diesel	unplanned	653457
Fast & Furious	4	Fast & Furious	April 3, 2009	Justin Lin	Vin Diesel & Paul Walker	unplanned	152918
Fast & Furious	5	Fast Five	April 29, 2011	Justin Lin	Vin Diesel & Paul Walker	unplanned	146102
Fast & Furious	6	Furious 6	May 24, 2013	Justin Lin	Vin Diesel & Paul Walker	unplanned	577381
Fast & Furious	7	Furious Seven	April 3, 2015	James Wan	Vin Diesel & Paul Walker	unplanned	152981
Harry Potter	1	Harry Potter and the Sorcerer's Stone	November 16, 2001	Chris Columbus	written by Steve Kloves	book	1122736
Harry Potter	2	Harry Potter and the Chamber of Secrets	November 15, 2002	Chris Columbus	written by Steve Kloves	book	534691
Harry Potter	3	Harry Potter and the Prisoner of Azkaban	June 4, 2004	Alfonso Cuarón	written by Steve Kloves	book	875867
Harry Potter	4	Harry Potter and the Goblet of Fire	November 18, 2005	Mike Newell	written by Steve Kloves	book	168152
Harry Potter	5	Harry Potter and the Order of the Phoenix	July 11, 2007	David Yates	written by Michael Goldenberg	book	209096
Harry Potter	6	Harry Potter and the Half-Blood Prince	July 15, 2009	David Yates	written by Steve Kloves	book	401962
Harry Potter	7	Harry Potter and the Deathly Hallows: Part 1	November 19, 2010	David Yates	written by Steve Kloves	book	138647
Harry Potter	8	Harry Potter and the Deathly Hallows: Part 2	July 15, 2011	David Yates	written by Steve Kloves	book	231478
Indiana Jones	1	Raiders of the Lost Ark	June 12, 1981	Steven Spielberg	Steven Spielberg	unplanned	165728
Indiana Jones	2	Indiana Jones and the Temple of Doom	May 23, 1984	Steven Spielberg	Steven Spielberg	unplanned	366950
Indiana Jones	3	Indiana Jones and the Last Crusade	May 24, 1989	Steven Spielberg	Steven Spielberg	unplanned	328554
Indiana Jones	4	Indiana Jones and the Kingdom of the Crystal Skull	May 22, 2008	Steven Spielberg	Steven Spielberg	unplanned	165716
James Bond	1	Dr. No	October 5, 1962	Terence Young	Sean Connery	book	245101
James Bond	2	From Russia with Love	 October 11, 1963	Terence Young	Sean Connery	book	608281
James Bond	3	Goldfinger	September 18, 1964	Guy Hamilton	Sean Connery	book	690078
James Bond	4	Thunderball	December 29, 1965	Terence Young	Sean Connery	book	113525
James Bond	5	You Only Live Twice	June 13, 1967	Lewis Gilbert	Sean Connery	book	1057186
James Bond	6	On Her Majesty's Secret Service	December 18, 1969	Peter R. Hunt	George Lazenby	book	415406
James Bond	7	Diamonds Are Forever	December 17, 1971	Guy Hamilton	Sean Connery	book	1268074
James Bond	8	Live and Let Die	July 6, 1973	Guy Hamilton	Roger Moore	book	329881
James Bond	9	The Man with the Golden Gun	December 19, 1974	Guy Hamilton	Roger Moore	book	52653
James Bond	10	The Spy Who Loved Me	July 7, 1977	Lewis Gilbert	Roger Moore	book	412778
James Bond	11	Moonraker	June 26, 1979	Lewis Gilbert	Roger Moore	book	302833
James Bond	12	For Your Eyes Only	June 24, 1981	John Glen	Roger Moore	book	609128
James Bond	13	Octopussy	June 6, 1983	John Glen	Roger Moore	book	52635
James Bond	14	A View to a Kill	June 13, 1985	John Glen	Roger Moore	book	52604
James Bond	15	The Living Daylights	June 27, 1987	John Glen	Timothy Dalton	book	393048
